prompt,trend_id,trend_title,variation
"naïve childlike illustration, hand-drawn doodles, shaky marker outlines, uneven crayon strokes, imperfect proportions, playful scribbles, simple shapes, bright expressive colors, analog paper texture, emotionally raw charm, crayon notebook doodles, messy childlike shapes, vibrant primaries, uneven coloring outside the lines. Avoid: realism, vector clean lines, glossy shading, perfect symmetry, photorealistic textures.",1,Imperfect Minimalism,1
"naïve childlike illustration, hand-drawn doodles, shaky marker outlines, uneven crayon strokes, imperfect proportions, playful scribbles, simple shapes, bright expressive colors, analog paper texture, emotionally raw charm, marker scribbles with emotional looseness, sketchbook aesthetic, naïve proportions. Avoid: realism, vector clean lines, glossy shading, perfect symmetry, photorealistic textures.",1,Imperfect Minimalism,2
"naïve childlike illustration, hand-drawn doodles, shaky marker outlines, uneven crayon strokes, imperfect proportions, playful scribbles, simple shapes, bright expressive colors, analog paper texture, emotionally raw charm, kids' scribble animals, expressive wiggly outlines, crayon texture noise. Avoid: realism, vector clean lines, glossy shading, perfect symmetry, photorealistic textures.",1,Imperfect Minimalism,3
"naïve childlike illustration, hand-drawn doodles, shaky marker outlines, uneven crayon strokes, imperfect proportions, playful scribbles, simple shapes, bright expressive colors, analog paper texture, emotionally raw charm, simple storytelling scene drawn like a child, paper grain, bright messy strokes. Avoid: realism, vector clean lines, glossy shading, perfect symmetry, photorealistic textures.",1,Imperfect Minimalism,4
"naïve childlike illustration, hand-drawn doodles, shaky marker outlines, uneven crayon strokes, imperfect proportions, playful scribbles, simple shapes, bright expressive colors, analog paper texture, emotionally raw charm, naïve faces with uneven eyes and giant smiles, doodle whimsy. Avoid: realism, vector clean lines, glossy shading, perfect symmetry, photorealistic textures.",1,Imperfect Minimalism,5
"naïve childlike illustration, hand-drawn doodles, shaky marker outlines, uneven crayon strokes, imperfect proportions, playful scribbles, simple shapes, bright expressive colors, analog paper texture, emotionally raw charm, chaotic notebook scratchings with playful icons, hand-scrawled look. Avoid: realism, vector clean lines, glossy shading, perfect symmetry, photorealistic textures.",1,Imperfect Minimalism,6
"naïve childlike illustration, hand-drawn doodles, shaky marker outlines, uneven crayon strokes, imperfect proportions, playful scribbles, simple shapes, bright expressive colors, analog paper texture, emotionally raw charm, simple symbolic shapes drawn in crayon, raw innocence, thick strokes. Avoid: realism, vector clean lines, glossy shading, perfect symmetry, photorealistic textures.",1,Imperfect Minimalism,7
"naïve childlike illustration, hand-drawn doodles, shaky marker outlines, uneven crayon strokes, imperfect proportions, playful scribbles, simple shapes, bright expressive colors, analog paper texture, emotionally raw charm, childlike scenery with uneven trees and wobbly sun, messy coloring. Avoid: realism, vector clean lines, glossy shading, perfect symmetry, photorealistic textures.",1,Imperfect Minimalism,8
"naïve childlike illustration, hand-drawn doodles, shaky marker outlines, uneven crayon strokes, imperfect proportions, playful scribbles, simple shapes, bright expressive colors, analog paper texture, emotionally raw charm, marker-drawn patterns, repetitive childish motifs, fun irregular rhythm. Avoid: realism, vector clean lines, glossy shading, perfect symmetry, photorealistic textures.",1,Imperfect Minimalism,9
"naïve childlike illustration, hand-drawn doodles, shaky marker outlines, uneven crayon strokes, imperfect proportions, playful scribbles, simple shapes, bright expressive colors, analog paper texture, emotionally raw charm, analog crayon blobs and characters, emotional naïve energy. Avoid: realism, vector clean lines, glossy shading, perfect symmetry, photorealistic textures.",1,Imperfect Minimalism,10
"flat-lay catalog of isolated objects, specimen sheet layout, numbered labels, monospaced typography accents, symmetrical grid, nostalgic items, clean shadowless cutouts, archival feel, museum catalog of nostalgic trinkets, clean flat-lay grid, labeled objects. Avoid: messy background, dramatic lighting, depth perspective.",2,Object Nostalgia,1
"flat-lay catalog of isolated objects, specimen sheet layout, numbered labels, monospaced typography accents, symmetrical grid, nostalgic items, clean shadowless cutouts, archival feel, index sheet of childhood artifacts, isolated on cream background. Avoid: messy background, dramatic lighting, depth perspective.",2,Object Nostalgia,2
"flat-lay catalog of isolated objects, specimen sheet layout, numbered labels, monospaced typography accents, symmetrical grid, nostalgic items, clean shadowless cutouts, archival feel, flat-lay layout of tools and toys, evenly spaced, neat grid. Avoid: messy background, dramatic lighting, depth perspective.",2,Object Nostalgia,3
"flat-lay catalog of isolated objects, specimen sheet layout, numbered labels, monospaced typography accents, symmetrical grid, nostalgic items, clean shadowless cutouts, archival feel, object archive aesthetic, numbered labels, monospaced type. Avoid: messy background, dramatic lighting, depth perspective.",2,Object Nostalgia,4
"flat-lay catalog of isolated objects, specimen sheet layout, numbered labels, monospaced typography accents, symmetrical grid, nostalgic items, clean shadowless cutouts, archival feel, floating trinket collection, symmetrical arrangement. Avoid: messy background, dramatic lighting, depth perspective.",2,Object Nostalgia,5
"flat-lay catalog of isolated objects, specimen sheet layout, numbered labels, monospaced typography accents, symmetrical grid, nostalgic items, clean shadowless cutouts, archival feel, vintage memory-box contents catalogued neatly. Avoid: messy background, dramatic lighting, depth perspective.",2,Object Nostalgia,6
"flat-lay catalog of isolated objects, specimen sheet layout, numbered labels, monospaced typography accents, symmetrical grid, nostalgic items, clean shadowless cutouts, archival feel, colorful small items displayed like specimens. Avoid: messy background, dramatic lighting, depth perspective.",2,Object Nostalgia,7
"flat-lay catalog of isolated objects, specimen sheet layout, numbered labels, monospaced typography accents, symmetrical grid, nostalgic items, clean shadowless cutouts, archival feel, paper-cutout silhouettes labeled by number. Avoid: messy background, dramatic lighting, depth perspective.",2,Object Nostalgia,8
"flat-lay catalog of isolated objects, specimen sheet layout, numbered labels, monospaced typography accents, symmetrical grid, nostalgic items, clean shadowless cutouts, archival feel, flat index of objects with even spacing and crisp isolation. Avoid: messy background, dramatic lighting, depth perspective.",2,Object Nostalgia,9
"flat-lay catalog of isolated objects, specimen sheet layout, numbered labels, monospaced typography accents, symmetrical grid, nostalgic items, clean shadowless cutouts, archival feel, clean archival poster of random artifacts, organized grid. Avoid: messy background, dramatic lighting, depth perspective.",2,Object Nostalgia,10
"grainy gradient blur fields, soft airbrush haze, dreamy color transitions, misty atmosphere, editorial minimalism, floating shapes, subtle noise texture, grain-sprayed pastel gradients with foggy transitions. Avoid: sharp edges, crisp realism, cluttered layout.",3,Atmospheric Gradient,1
"grainy gradient blur fields, soft airbrush haze, dreamy color transitions, misty atmosphere, editorial minimalism, floating shapes, subtle noise texture, sunset-hued gradient blocks as layout dividers. Avoid: sharp edges, crisp realism, cluttered layout.",3,Atmospheric Gradient,2
"grainy gradient blur fields, soft airbrush haze, dreamy color transitions, misty atmosphere, editorial minimalism, floating shapes, subtle noise texture, dreamy neon mist with soft grain overlay. Avoid: sharp edges, crisp realism, cluttered layout.",3,Atmospheric Gradient,3
"grainy gradient blur fields, soft airbrush haze, dreamy color transitions, misty atmosphere, editorial minimalism, floating shapes, subtle noise texture, abstract editorial gradient compositions, minimal type shapes. Avoid: sharp edges, crisp realism, cluttered layout.",3,Atmospheric Gradient,4
"grainy gradient blur fields, soft airbrush haze, dreamy color transitions, misty atmosphere, editorial minimalism, floating shapes, subtle noise texture, hazy warm-to-cool gradient field, tactile grain. Avoid: sharp edges, crisp realism, cluttered layout.",3,Atmospheric Gradient,5
"grainy gradient blur fields, soft airbrush haze, dreamy color transitions, misty atmosphere, editorial minimalism, floating shapes, subtle noise texture, soft-focus gradient atmosphere, glowing color washes. Avoid: sharp edges, crisp realism, cluttered layout.",3,Atmospheric Gradient,6
"grainy gradient blur fields, soft airbrush haze, dreamy color transitions, misty atmosphere, editorial minimalism, floating shapes, subtle noise texture, fog-like abstract blur with subtle speckles. Avoid: sharp edges, crisp realism, cluttered layout.",3,Atmospheric Gradient,7
"grainy gradient blur fields, soft airbrush haze, dreamy color transitions, misty atmosphere, editorial minimalism, floating shapes, subtle noise texture, vibrant electric gradient glow with grain. Avoid: sharp edges, crisp realism, cluttered layout.",3,Atmospheric Gradient,8
"grainy gradient blur fields, soft airbrush haze, dreamy color transitions, misty atmosphere, editorial minimalism, floating shapes, subtle noise texture, blend of pastel and neon gradients, diffused edges. Avoid: sharp edges, crisp realism, cluttered layout.",3,Atmospheric Gradient,9
